[Measurement Properties]
Wavelength Range (nm.):	740,00 to 1050,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	WI
Detector Unit:	Integral Sphere
Detector Change Wavelength:	920,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	04MAY2015
FILTER#12
BRAZIL

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
983,60	100,018	98,187	98,192	98,194	98,192	98,201	98,190	98,186	98,179	98,219	97,977	98,200	98,202	98,241	98,221	98,216	98,212	98,243	98,233	98,205	98,206	98,211	98,209	98,222	98,231	98,213	98,205	98,224	98,228	98,209	98,188	98,177	98,222	98,216	98,215	98,196	98,211	98,231	98,215	98,223	98,201	98,177	98,143	98,195	98,226	98,220	98,202	98,206	98,209	98,238	98,221	98,163	98,164	98,209	98,200	98,123	98,205	98,232	98,247	98,221	98,181	98,198	98,204	98,203	98,239	98,078	98,199	98,221	98,248	98,239	98,173	98,153	98,176	98,239	98,219	98,222	98,249	98,251	98,224	98,243	98,232	98,157	98,195	98,213	98,237	98,255	98,203	98,227	98,248	98,253	98,217	98,143	98,194	98,153	98,213	98,202	98,192	98,215	98,209	98,169	98,132	100,029
983,80	100,013	98,163	98,156	98,182	98,198	98,193	98,207	98,188	98,171	98,201	97,973	98,178	98,188	98,219	98,195	98,196	98,203	98,220	98,231	98,199	98,190	98,196	98,190	98,223	98,210	98,200	98,184	98,212	98,213	98,189	98,159	98,173	98,199	98,202	98,217	98,189	98,195	98,225	98,221	98,199	98,198	98,185	98,143	98,201	98,188	98,204	98,209	98,203	98,201	98,217	98,195	98,147	98,160	98,204	98,177	98,108	98,196	98,227	98,221	98,216	98,194	98,165	98,201	98,208	98,201	98,081	98,177	98,211	98,212	98,204	98,168	98,134	98,191	98,206	98,214	98,233	98,213	98,216	98,229	98,219	98,208	98,143	98,191	98,227	98,217	98,223	98,206	98,219	98,231	98,240	98,211	98,150	98,204	98,149	98,184	98,207	98,209	98,200	98,215	98,174	98,094	99,987
984,00	99,974	98,130	98,151	98,159	98,179	98,187	98,168	98,168	98,152	98,197	97,937	98,163	98,171	98,210	98,183	98,180	98,188	98,209	98,225	98,175	98,169	98,187	98,191	98,205	98,182	98,181	98,171	98,197	98,198	98,192	98,153	98,154	98,171	98,178	98,189	98,175	98,182	98,200	98,198	98,186	98,169	98,156	98,107	98,162	98,192	98,195	98,185	98,164	98,184	98,193	98,199	98,152	98,127	98,190	98,158	98,101	98,180	98,193	98,215	98,181	98,150	98,172	98,184	98,160	98,204	98,060	98,158	98,207	98,208	98,208	98,133	98,137	98,152	98,208	98,176	98,191	98,221	98,212	98,190	98,214	98,187	98,109	98,174	98,179	98,218	98,223	98,189	98,194	98,217	98,230	98,189	98,124	98,160	98,143	98,174	98,162	98,159	98,176	98,173	98,139	98,104	99,999
984,20	100,036	98,195	98,196	98,208	98,205	98,204	98,198	98,193	98,191	98,225	97,988	98,209	98,210	98,236	98,214	98,222	98,222	98,247	98,241	98,209	98,213	98,214	98,210	98,231	98,242	98,219	98,212	98,230	98,240	98,218	98,184	98,191	98,226	98,225	98,230	98,203	98,213	98,238	98,237	98,225	98,214	98,194	98,159	98,209	98,223	98,221	98,212	98,226	98,222	98,237	98,220	98,166	98,178	98,208	98,206	98,116	98,209	98,247	98,251	98,242	98,208	98,180	98,213	98,225	98,240	98,085	98,209	98,222	98,242	98,224	98,197	98,146	98,203	98,222	98,243	98,251	98,238	98,253	98,248	98,239	98,235	98,171	98,203	98,240	98,231	98,235	98,212	98,231	98,255	98,256	98,222	98,154	98,226	98,162	98,212	98,225	98,216	98,227	98,237	98,184	98,124	100,012
984,40	100,000	98,158	98,153	98,177	98,202	98,196	98,209	98,195	98,170	98,199	97,958	98,170	98,187	98,224	98,187	98,187	98,200	98,219	98,239	98,194	98,184	98,197	98,204	98,228	98,193	98,198	98,184	98,212	98,209	98,193	98,159	98,169	98,195	98,183	98,210	98,190	98,194	98,217	98,211	98,192	98,190	98,178	98,135	98,190	98,189	98,208	98,213	98,186	98,203	98,202	98,188	98,143	98,149	98,207	98,167	98,120	98,195	98,214	98,220	98,196	98,189	98,174	98,206	98,186	98,209	98,091	98,164	98,225	98,217	98,214	98,152	98,152	98,175	98,215	98,196	98,218	98,221	98,216	98,221	98,225	98,195	98,124	98,204	98,205	98,228	98,229	98,214	98,209	98,228	98,237	98,208	98,145	98,182	98,160	98,177	98,189	98,193	98,181	98,191	98,162	98,104	100,004
984,60	99,981	98,148	98,161	98,172	98,186	98,194	98,187	98,164	98,166	98,199	97,946	98,178	98,182	98,226	98,186	98,191	98,192	98,222	98,221	98,182	98,178	98,191	98,193	98,201	98,199	98,179	98,177	98,204	98,218	98,199	98,162	98,166	98,189	98,195	98,194	98,177	98,185	98,209	98,197	98,201	98,174	98,160	98,120	98,174	98,201	98,206	98,186	98,178	98,193	98,209	98,207	98,163	98,138	98,179	98,181	98,097	98,185	98,202	98,224	98,202	98,163	98,168	98,184	98,181	98,222	98,060	98,179	98,203	98,220	98,205	98,155	98,128	98,164	98,195	98,208	98,206	98,221	98,230	98,204	98,215	98,201	98,140	98,165	98,196	98,208	98,218	98,184	98,203	98,233	98,233	98,191	98,128	98,177	98,129	98,188	98,185	98,170	98,204	98,203	98,143	98,112	99,992
984,80	100,036	98,199	98,198	98,217	98,211	98,205	98,213	98,210	98,201	98,220	97,993	98,212	98,222	98,243	98,213	98,219	98,223	98,245	98,254	98,212	98,211	98,217	98,222	98,240	98,239	98,219	98,213	98,237	98,241	98,220	98,187	98,194	98,240	98,214	98,236	98,208	98,219	98,245	98,233	98,223	98,225	98,204	98,166	98,220	98,213	98,222	98,225	98,226	98,229	98,240	98,220	98,168	98,187	98,216	98,202	98,126	98,219	98,246	98,252	98,236	98,218	98,189	98,218	98,228	98,231	98,115	98,189	98,245	98,236	98,225	98,194	98,164	98,211	98,226	98,234	98,253	98,236	98,235	98,261	98,243	98,229	98,155	98,222	98,244	98,241	98,237	98,235	98,230	98,259	98,254	98,222	98,162	98,217	98,178	98,204	98,232	98,231	98,215	98,231	98,196	98,119	100,023
985,00	99,983	98,147	98,146	98,166	98,195	98,191	98,201	98,182	98,171	98,191	97,939	98,159	98,184	98,225	98,182	98,179	98,194	98,213	98,228	98,181	98,169	98,192	98,202	98,210	98,191	98,185	98,176	98,210	98,203	98,191	98,159	98,164	98,186	98,184	98,192	98,178	98,186	98,206	98,194	98,193	98,177	98,168	98,111	98,169	98,195	98,206	98,194	98,169	98,201	98,206	98,179	98,137	98,136	98,194	98,174	98,107	98,187	98,197	98,219	98,190	98,161	98,174	98,189	98,170	98,221	98,075	98,176	98,217	98,221	98,218	98,141	98,142	98,151	98,206	98,199	98,198	98,226	98,218	98,201	98,221	98,185	98,121	98,172	98,184	98,215	98,221	98,191	98,205	98,222	98,231	98,197	98,135	98,159	98,140	98,178	98,173	98,174	98,189	98,196	98,140	98,113	99,999
985,20	100,012	98,174	98,184	98,198	98,199	98,204	98,209	98,181	98,190	98,212	97,963	98,194	98,202	98,240	98,197	98,212	98,203	98,237	98,233	98,197	98,187	98,209	98,211	98,215	98,225	98,203	98,189	98,220	98,232	98,212	98,177	98,183	98,216	98,215	98,208	98,196	98,202	98,228	98,212	98,214	98,202	98,175	98,144	98,202	98,206	98,214	98,199	98,210	98,215	98,233	98,227	98,176	98,160	98,186	98,204	98,097	98,194	98,226	98,247	98,228	98,202	98,161	98,195	98,218	98,226	98,080	98,186	98,216	98,219	98,208	98,188	98,138	98,194	98,203	98,232	98,237	98,220	98,235	98,231	98,227	98,223	98,147	98,185	98,228	98,211	98,218	98,198	98,224	98,248	98,244	98,199	98,144	98,197	98,140	98,200	98,220	98,212	98,213	98,230	98,185	98,109	100,002
985,40	100,036	98,199	98,188	98,214	98,219	98,206	98,209	98,224	98,210	98,214	97,993	98,203	98,220	98,246	98,214	98,219	98,213	98,239	98,262	98,223	98,205	98,220	98,236	98,252	98,228	98,218	98,210	98,244	98,240	98,219	98,190	98,196	98,242	98,209	98,236	98,217	98,221	98,234	98,230	98,218	98,220	98,200	98,155	98,222	98,216	98,228	98,242	98,206	98,236	98,236	98,223	98,159	98,183	98,227	98,194	98,133	98,222	98,242	98,254	98,222	98,201	98,206	98,225	98,213	98,246	98,120	98,204	98,260	98,247	98,240	98,184	98,178	98,194	98,242	98,225	98,227	98,259	98,238	98,247	98,248	98,222	98,141	98,215	98,225	98,253	98,260	98,235	98,233	98,256	98,262	98,218	98,167	98,196	98,183	98,200	98,217	98,222	98,211	98,222	98,175	98,139	100,037
985,60	99,984	98,143	98,142	98,156	98,192	98,194	98,192	98,167	98,169	98,192	97,936	98,154	98,171	98,220	98,180	98,183	98,181	98,211	98,215	98,181	98,164	98,189	98,193	98,194	98,195	98,183	98,166	98,204	98,205	98,193	98,160	98,162	98,180	98,198	98,183	98,176	98,183	98,193	98,192	98,192	98,169	98,150	98,104	98,168	98,189	98,202	98,184	98,168	98,196	98,208	98,179	98,128	98,137	98,164	98,180	98,095	98,184	98,191	98,217	98,190	98,166	98,145	98,174	98,186	98,218	98,061	98,176	98,196	98,206	98,206	98,155	98,120	98,162	98,185	98,209	98,200	98,218	98,223	98,191	98,216	98,198	98,128	98,156	98,192	98,200	98,206	98,177	98,205	98,223	98,227	98,186	98,129	98,166	98,118	98,178	98,186	98,173	98,196	98,209	98,152	98,103	99,983
985,80	100,026	98,198	98,206	98,217	98,202	98,217	98,220	98,207	98,205	98,220	97,983	98,213	98,210	98,245	98,211	98,226	98,205	98,238	98,248	98,211	98,202	98,213	98,217	98,233	98,233	98,215	98,201	98,231	98,241	98,225	98,192	98,191	98,234	98,217	98,229	98,213	98,212	98,235	98,229	98,214	98,218	98,193	98,155	98,224	98,213	98,226	98,235	98,214	98,222	98,236	98,240	98,190	98,175	98,198	98,198	98,114	98,214	98,244	98,255	98,228	98,206	98,188	98,208	98,225	98,230	98,113	98,187	98,243	98,225	98,225	98,193	98,161	98,204	98,227	98,226	98,229	98,242	98,230	98,250	98,238	98,230	98,135	98,218	98,232	98,232	98,246	98,219	98,230	98,259	98,252	98,204	98,160	98,203	98,168	98,194	98,228	98,231	98,207	98,231	98,187	98,117	100,023
986,00	100,018	98,187	98,171	98,192	98,205	98,202	98,192	98,203	98,198	98,200	97,976	98,177	98,200	98,237	98,202	98,205	98,201	98,226	98,245	98,207	98,188	98,209	98,220	98,236	98,213	98,204	98,197	98,233	98,228	98,212	98,183	98,179	98,221	98,208	98,219	98,200	98,204	98,213	98,220	98,207	98,196	98,182	98,119	98,195	98,212	98,215	98,221	98,184	98,219	98,219	98,208	98,147	98,162	98,204	98,191	98,124	98,208	98,222	98,236	98,198	98,181	98,185	98,209	98,198	98,245	98,102	98,205	98,235	98,239	98,239	98,163	98,161	98,182	98,223	98,227	98,217	98,253	98,241	98,218	98,234	98,212	98,144	98,184	98,199	98,231	98,239	98,209	98,219	98,235	98,254	98,201	98,150	98,175	98,159	98,195	98,205	98,199	98,217	98,228	98,157	98,134	100,026
986,20	99,998	98,149	98,157	98,167	98,189	98,204	98,201	98,168	98,179	98,195	97,945	98,165	98,176	98,224	98,188	98,191	98,180	98,216	98,217	98,188	98,172	98,196	98,186	98,200	98,208	98,195	98,170	98,205	98,213	98,202	98,170	98,167	98,188	98,212	98,196	98,182	98,184	98,208	98,208	98,202	98,180	98,152	98,125	98,190	98,194	98,210	98,196	98,193	98,198	98,215	98,196	98,141	98,150	98,168	98,190	98,088	98,189	98,209	98,222	98,202	98,186	98,145	98,173	98,208	98,204	98,073	98,166	98,201	98,197	98,201	98,173	98,121	98,186	98,185	98,208	98,213	98,213	98,215	98,218	98,217	98,211	98,120	98,180	98,210	98,196	98,208	98,183	98,211	98,233	98,232	98,189	98,135	98,181	98,126	98,182	98,212	98,197	98,194	98,211	98,168	98,089	99,987
986,40	100,026	98,197	98,186	98,202	98,188	98,196	98,208	98,190	98,196	98,192	97,978	98,191	98,212	98,239	98,204	98,199	98,199	98,224	98,228	98,211	98,187	98,211	98,205	98,228	98,221	98,209	98,196	98,223	98,233	98,198	98,192	98,171	98,230	98,205	98,211	98,194	98,196	98,209	98,209	98,206	98,199	98,163	98,128	98,209	98,207	98,210	98,220	98,189	98,212	98,222	98,225	98,166	98,157	98,190	98,190	98,113	98,202	98,224	98,231	98,199	98,175	98,184	98,200	98,197	98,227	98,094	98,194	98,237	98,241	98,232	98,169	98,150	98,175	98,224	98,220	98,213	98,242	98,235	98,228	98,232	98,214	98,144	98,192	98,200	98,223	98,239	98,203	98,222	98,230	98,245	98,199	98,148	98,178	98,158	98,187	98,203	98,203	98,209	98,220	98,157	98,120	100,027
986,60	100,017	98,182	98,154	98,173	98,214	98,217	98,201	98,187	98,186	98,200	97,966	98,159	98,196	98,237	98,204	98,194	98,191	98,237	98,227	98,218	98,192	98,209	98,209	98,218	98,231	98,212	98,197	98,226	98,229	98,203	98,187	98,181	98,216	98,234	98,206	98,192	98,197	98,208	98,217	98,221	98,192	98,167	98,128	98,205	98,210	98,228	98,209	98,204	98,214	98,234	98,204	98,146	98,172	98,196	98,211	98,116	98,208	98,229	98,232	98,212	98,204	98,162	98,195	98,220	98,229	98,083	98,196	98,221	98,225	98,226	98,194	98,139	98,208	98,207	98,234	98,238	98,234	98,242	98,229	98,240	98,228	98,147	98,193	98,221	98,220	98,220	98,198	98,228	98,234	98,245	98,218	98,158	98,193	98,137	98,200	98,233	98,203	98,221	98,237	98,181	98,109	100,002
986,80	100,000	98,150	98,165	98,175	98,179	98,201	98,205	98,174	98,187	98,191	97,950	98,171	98,182	98,234	98,193	98,194	98,182	98,211	98,210	98,195	98,168	98,199	98,194	98,205	98,212	98,193	98,168	98,205	98,206	98,192	98,174	98,162	98,199	98,205	98,196	98,178	98,181	98,208	98,205	98,200	98,185	98,151	98,128	98,204	98,192	98,209	98,206	98,184	98,193	98,215	98,212	98,150	98,142	98,182	98,180	98,095	98,192	98,204	98,222	98,194	98,170	98,171	98,179	98,188	98,196	98,081	98,169	98,215	98,217	98,209	98,165	98,134	98,166	98,206	98,194	98,195	98,219	98,205	98,219	98,220	98,204	98,116	98,183	98,198	98,206	98,231	98,184	98,209	98,232	98,234	98,184	98,135	98,172	98,137	98,172	98,198	98,195	98,182	98,197	98,152	98,092	100,016
987,00	100,025	98,205	98,187	98,198	98,194	98,203	98,216	98,186	98,199	98,194	97,982	98,185	98,210	98,244	98,210	98,198	98,197	98,235	98,222	98,219	98,192	98,214	98,210	98,223	98,224	98,211	98,205	98,226	98,236	98,189	98,190	98,172	98,234	98,223	98,209	98,190	98,200	98,209	98,214	98,217	98,194	98,167	98,125	98,211	98,213	98,210	98,221	98,191	98,211	98,227	98,230	98,176	98,163	98,202	98,201	98,112	98,209	98,229	98,229	98,203	98,188	98,177	98,203	98,205	98,233	98,083	98,210	98,229	98,238	98,240	98,182	98,155	98,201	98,213	98,237	98,233	98,247	98,247	98,226	98,238	98,224	98,156	98,180	98,207	98,226	98,232	98,201	98,229	98,226	98,251	98,210	98,161	98,188	98,152	98,196	98,222	98,199	98,227	98,243	98,168	98,122	100,012
987,20	100,007	98,170	98,150	98,166	98,204	98,214	98,194	98,175	98,180	98,204	97,956	98,153	98,182	98,224	98,196	98,192	98,190	98,235	98,221	98,211	98,185	98,205	98,203	98,211	98,227	98,217	98,181	98,215	98,209	98,197	98,179	98,176	98,201	98,220	98,198	98,187	98,194	98,207	98,222	98,215	98,188	98,157	98,130	98,206	98,206	98,223	98,208	98,203	98,203	98,228	98,199	98,135	98,159	98,194	98,198	98,105	98,202	98,221	98,231	98,213	98,194	98,166	98,183	98,206	98,205	98,079	98,179	98,217	98,222	98,216	98,189	98,140	98,184	98,208	98,204	98,215	98,222	98,224	98,227	98,232	98,227	98,122	98,193	98,214	98,207	98,220	98,190	98,222	98,229	98,246	98,211	98,150	98,190	98,139	98,187	98,219	98,205	98,192	98,207	98,169	98,098	100,016
987,40	100,010	98,157	98,177	98,185	98,178	98,205	98,204	98,174	98,196	98,190	97,961	98,177	98,187	98,234	98,189	98,203	98,191	98,219	98,210	98,203	98,178	98,205	98,197	98,209	98,207	98,203	98,171	98,210	98,212	98,184	98,170	98,159	98,202	98,208	98,204	98,183	98,188	98,202	98,210	98,201	98,185	98,150	98,119	98,206	98,196	98,209	98,210	98,180	98,202	98,204	98,220	98,153	98,135	98,187	98,185	98,094	98,198	98,215	98,222	98,189	98,164	98,179	98,192	98,178	98,214	98,075	98,188	98,222	98,232	98,223	98,160	98,145	98,174	98,208	98,215	98,204	98,234	98,226	98,214	98,221	98,206	98,140	98,179	98,190	98,216	98,229	98,189	98,221	98,228	98,247	98,194	98,136	98,168	98,137	98,176	98,194	98,190	98,207	98,218	98,148	98,113	100,009
987,60	100,027	98,210	98,185	98,201	98,208	98,220	98,228	98,193	98,197	98,204	97,985	98,180	98,204	98,239	98,214	98,207	98,203	98,253	98,231	98,228	98,201	98,218	98,214	98,229	98,230	98,230	98,207	98,239	98,242	98,196	98,196	98,181	98,234	98,222	98,212	98,203	98,210	98,211	98,230	98,224	98,197	98,175	98,134	98,223	98,222	98,219	98,226	98,212	98,208	98,239	98,234	98,176	98,171	98,209	98,212	98,118	98,219	98,239	98,237	98,225	98,207	98,176	98,204	98,221	98,235	98,084	98,204	98,227	98,233	98,233	98,201	98,151	98,216	98,215	98,227	98,240	98,245	98,249	98,236	98,244	98,243	98,149	98,197	98,229	98,223	98,230	98,201	98,237	98,229	98,260	98,223	98,162	98,204	98,156	98,204	98,243	98,206	98,221	98,226	98,185	98,119	100,015
987,80	99,998	98,162	98,147	98,170	98,190	98,213	98,187	98,172	98,178	98,199	97,953	98,161	98,175	98,219	98,191	98,201	98,188	98,221	98,216	98,200	98,183	98,196	98,188	98,206	98,214	98,206	98,165	98,205	98,207	98,188	98,171	98,164	98,188	98,206	98,196	98,178	98,183	98,203	98,217	98,206	98,177	98,158	98,125	98,206	98,193	98,220	98,209	98,189	98,197	98,206	98,195	98,130	98,137	98,196	98,186	98,101	98,189	98,211	98,223	98,192	98,168	98,179	98,180	98,172	98,205	98,080	98,173	98,218	98,228	98,214	98,157	98,133	98,163	98,208	98,199	98,195	98,224	98,214	98,223	98,218	98,209	98,123	98,188	98,193	98,212	98,231	98,186	98,212	98,224	98,239	98,201	98,134	98,174	98,139	98,175	98,197	98,192	98,194	98,203	98,150	98,102	100,014
988,00	100,010	98,167	98,190	98,200	98,182	98,209	98,211	98,178	98,200	98,197	97,969	98,184	98,192	98,237	98,195	98,214	98,201	98,237	98,216	98,210	98,189	98,209	98,205	98,218	98,205	98,211	98,187	98,220	98,224	98,184	98,178	98,160	98,213	98,210	98,205	98,191	98,193	98,214	98,217	98,216	98,186	98,164	98,123	98,206	98,204	98,207	98,216	98,192	98,203	98,214	98,225	98,165	98,139	98,196	98,201	98,107	98,195	98,223	98,222	98,197	98,191	98,171	98,199	98,196	98,230	98,068	98,194	98,222	98,223	98,235	98,168	98,144	98,200	98,201	98,226	98,233	98,238	98,241	98,214	98,226	98,215	98,154	98,178	98,205	98,220	98,215	98,189	98,221	98,221	98,246	98,202	98,139	98,174	98,145	98,189	98,213	98,187	98,219	98,226	98,162	98,114	99,999
988,20	100,014	98,201	98,173	98,199	98,206	98,216	98,222	98,195	98,184	98,208	97,973	98,169	98,196	98,233	98,209	98,205	98,200	98,251	98,228	98,220	98,200	98,203	98,211	98,224	98,229	98,227	98,196	98,223	98,229	98,188	98,189	98,176	98,220	98,213	98,212	98,195	98,201	98,221	98,229	98,225	98,193	98,175	98,139	98,214	98,209	98,219	98,218	98,213	98,199	98,229	98,221	98,174	98,158	98,221	98,207	98,117	98,196	98,232	98,229	98,222	98,196	98,184	98,189	98,199	98,224	98,082	98,184	98,232	98,228	98,230	98,188	98,143	98,183	98,218	98,210	98,222	98,232	98,231	98,238	98,228	98,233	98,135	98,201	98,220	98,212	98,234	98,193	98,228	98,224	98,253	98,219	98,152	98,195	98,150	98,198	98,222	98,213	98,203	98,207	98,175	98,108	100,025
988,40	99,997	98,156	98,151	98,184	98,186	98,210	98,186	98,173	98,184	98,197	97,951	98,160	98,177	98,224	98,186	98,204	98,195	98,220	98,212	98,203	98,183	98,201	98,190	98,205	98,194	98,196	98,164	98,205	98,209	98,177	98,163	98,156	98,179	98,204	98,195	98,172	98,178	98,203	98,207	98,209	98,173	98,152	98,119	98,199	98,185	98,215	98,200	98,182	98,200	98,195	98,194	98,128	98,127	98,196	98,184	98,094	98,179	98,205	98,215	98,181	98,172	98,171	98,189	98,163	98,215	98,066	98,177	98,215	98,223	98,223	98,145	98,132	98,179	98,200	98,213	98,212	98,228	98,226	98,209	98,206	98,192	98,134	98,172	98,185	98,214	98,221	98,193	98,212	98,218	98,232	98,194	98,130	98,153	98,134	98,172	98,192	98,181	98,207	98,211	98,146	98,113	100,003
988,60	100,013	98,169	98,192	98,205	98,192	98,210	98,217	98,192	98,200	98,203	97,976	98,185	98,196	98,239	98,209	98,209	98,202	98,248	98,224	98,219	98,195	98,210	98,210	98,219	98,212	98,225	98,191	98,231	98,234	98,180	98,183	98,167	98,220	98,210	98,206	98,199	98,204	98,220	98,217	98,221	98,188	98,170	98,133	98,211	98,202	98,201	98,212	98,208	98,200	98,224	98,232	98,168	98,148	98,208	98,199	98,108	98,204	98,226	98,218	98,220	98,204	98,175	98,199	98,204	98,224	98,063	98,181	98,228	98,218	98,233	98,183	98,140	98,198	98,202	98,207	98,228	98,233	98,239	98,221	98,229	98,229	98,136	98,188	98,222	98,216	98,222	98,198	98,226	98,222	98,247	98,216	98,142	98,186	98,140	98,197	98,223	98,198	98,202	98,207	98,177	98,106	100,006
988,80	99,997	98,181	98,154	98,189	98,206	98,213	98,214	98,186	98,173	98,204	97,962	98,160	98,178	98,221	98,198	98,189	98,192	98,233	98,221	98,211	98,193	98,187	98,204	98,207	98,214	98,215	98,180	98,210	98,219	98,178	98,171	98,165	98,208	98,205	98,197	98,180	98,184	98,212	98,216	98,213	98,181	98,167	98,126	98,206	98,193	98,203	98,206	98,198	98,193	98,210	98,201	98,155	98,138	98,203	98,194	98,107	98,183	98,216	98,215	98,203	98,175	98,184	98,189	98,171	98,213	98,077	98,177	98,221	98,234	98,215	98,162	98,133	98,173	98,219	98,214	98,209	98,229	98,224	98,228	98,211	98,208	98,130	98,188	98,193	98,216	98,231	98,200	98,215	98,220	98,237	98,209	98,133	98,167	98,141	98,178	98,195	98,202	98,207	98,213	98,156	98,111	100,019
989,00	99,994	98,155	98,160	98,187	98,183	98,208	98,186	98,167	98,190	98,194	97,956	98,173	98,176	98,229	98,193	98,208	98,198	98,227	98,208	98,202	98,185	98,200	98,197	98,201	98,191	98,198	98,176	98,208	98,216	98,172	98,160	98,147	98,177	98,202	98,189	98,178	98,187	98,205	98,207	98,205	98,173	98,157	98,112	98,192	98,187	98,203	98,198	98,184	98,195	98,196	98,197	98,124	98,129	98,196	98,188	98,091	98,184	98,208	98,203	98,188	98,192	98,160	98,194	98,180	98,222	98,048	98,178	98,212	98,202	98,216	98,154	98,131	98,189	98,184	98,208	98,219	98,230	98,237	98,198	98,206	98,205	98,129	98,158	98,193	98,210	98,207	98,191	98,216	98,215	98,230	98,190	98,129	98,156	98,128	98,182	98,206	98,176	98,200	98,205	98,151	98,105	99,984
989,20	100,011	98,168	98,190	98,204	98,196	98,203	98,215	98,196	98,198	98,208	97,978	98,188	98,196	98,235	98,213	98,206	98,206	98,254	98,222	98,220	98,203	98,201	98,216	98,220	98,218	98,229	98,190	98,225	98,242	98,185	98,188	98,170	98,219	98,208	98,207	98,198	98,205	98,226	98,226	98,217	98,195	98,173	98,134	98,213	98,204	98,194	98,215	98,211	98,200	98,232	98,234	98,167	98,151	98,210	98,209	98,111	98,199	98,229	98,213	98,224	98,192	98,184	98,195	98,196	98,221	98,080	98,181	98,223	98,229	98,228	98,180	98,140	98,178	98,216	98,213	98,214	98,233	98,236	98,231	98,223	98,234	98,136	98,196	98,213	98,208	98,232	98,201	98,225	98,222	98,246	98,221	98,147	98,184	98,142	98,201	98,204	98,212	98,206	98,210	98,174	98,110	100,021
989,40	99,991	98,168	98,146	98,180	98,199	98,207	98,201	98,174	98,164	98,198	97,950	98,156	98,167	98,214	98,189	98,185	98,192	98,224	98,207	98,199	98,190	98,186	98,194	98,200	98,194	98,198	98,173	98,204	98,213	98,173	98,159	98,155	98,187	98,202	98,187	98,178	98,173	98,205	98,211	98,200	98,172	98,153	98,112	98,195	98,185	98,201	98,197	98,184	98,192	98,192	98,186	98,134	98,129	98,191	98,190	98,094	98,173	98,208	98,204	98,181	98,181	98,165	98,187	98,164	98,218	98,058	98,178	98,214	98,213	98,210	98,147	98,131	98,181	98,196	98,212	98,217	98,229	98,237	98,210	98,197	98,197	98,130	98,158	98,179	98,209	98,213	98,197	98,210	98,215	98,228	98,196	98,127	98,143	98,135	98,175	98,191	98,182	98,207	98,213	98,145	98,114	99,994
989,60	100,003	98,153	98,171	98,196	98,180	98,201	98,190	98,176	98,194	98,201	97,966	98,179	98,189	98,233	98,199	98,215	98,205	98,237	98,216	98,207	98,192	98,200	98,206	98,207	98,203	98,214	98,173	98,219	98,230	98,176	98,173	98,161	98,181	98,204	98,195	98,187	98,198	98,213	98,210	98,207	98,184	98,161	98,119	98,193	98,193	98,211	98,198	98,198	98,195	98,218	98,206	98,125	98,132	98,197	98,197	98,098	98,194	98,214	98,206	98,208	98,188	98,159	98,187	98,187	98,217	98,057	98,163	98,216	98,201	98,213	98,165	98,132	98,178	98,193	98,194	98,209	98,221	98,231	98,210	98,210	98,227	98,123	98,173	98,207	98,196	98,213	98,191	98,219	98,219	98,231	98,193	98,131	98,167	98,127	98,202	98,204	98,187	98,186	98,191	98,162	98,094	99,990
